Sensor_ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
1,66.94,85.52,3.28,100.00,99.72,87.15,86.87,99.99,99.72,99.73,98.09,24.86,79.32
2,66.94,99.73,99.73,100.00,99.72,99.72,99.72,99.99,99.72,99.73,96.99,24.86,90.57
3,62.02,99.45,99.45,100.00,99.72,99.72,99.72,74.86,93.16,90.98,90.60,24.86,86.21
4,66.94,99.73,99.73,100.00,99.72,95.89,99.72,75.14,58.19,99.73,99.73,24.86,84.95
5,66.94,99.73,99.73,100.00,99.72,99.72,99.72,99.99,64.48,96.72,99.73,24.86,87.61
6,66.94,99.73,99.73,100.00,99.72,99.72,99.72,99.99,99.72,94.80,99.73,24.86,90.39
7,26.78,64.21,99.73,100.00,95.07,35.25,81.41,84.41,94.80,99.45,72.95,24.86,73.24
8,61.48,99.73,99.73,100.00,99.72,99.72,97.53,99.78,94.80,99.73,93.99,24.86,89.25
9,66.94,99.73,99.73,100.00,99.72,99.72,99.72,99.95,99.72,99.73,99.73,24.86,90.79
10,66.94,99.73,94.81,100.00,99.72,99.72,99.72,99.87,99.72,99.73,99.73,24.86,90.38
11,66.94,99.73,99.73,100.00,99.72,99.72,99.72,93.08,93.16,99.73,95.90,24.86,89.36
12,66.94,99.73,99.73,100.00,66.39,99.72,99.72,93.35,99.72,99.73,99.73,24.86,87.47
13,66.94,99.73,99.73,100.00,99.72,99.72,99.72,99.99,31.69,0.00,0.00,0.00,66.44
14,66.94,99.73,99.73,100.00,99.72,99.72,99.17,99.99,76.49,74.04,93.43,24.32,86.11
15,66.94,99.73,99.73,92.63,70.48,99.72,64.20,99.99,95.62,99.73,99.73,21.31,84.15
16,66.94,99.73,99.73,100.00,99.72,48.09,2.19,0.00,0.00,0.00,0.00,0.00,43.03
17,66.94,99.73,99.73,100.00,99.72,99.72,50.55,99.98,99.72,87.70,92.62,21.04,84.79
18,66.94,99.73,99.73,100.00,99.72,99.72,99.72,99.94,99.72,99.73,99.73,24.86,90.79
19,0.00,0.00,0.00,0.00,33.32,99.72,83.87,99.42,99.72,99.73,99.73,24.86,53.36
20,0.00,0.00,0.00,0.00,31.96,99.44,98.90,98.90,99.72,90.98,99.45,24.86,53.68
21,0.00,0.00,0.00,0.00,33.32,95.07,99.72,99.99,99.44,99.73,99.73,24.86,54.32
22,0.00,0.00,0.00,0.00,33.32,99.72,84.70,43.72,47.27,94.81,87.43,24.86,42.99
23,0.00,0.00,0.00,0.00,33.32,93.43,99.72,86.60,94.52,99.73,99.73,24.86,52.66
24,0.00,0.00,0.00,0.00,25.94,94.25,99.44,99.99,99.72,99.73,98.91,24.86,53.57
25,0.00,0.00,0.00,0.00,33.32,95.07,99.72,99.99,99.72,99.73,66.84,24.86,51.60
26,0.00,0.00,0.00,0.00,25.94,99.72,99.44,99.99,99.72,99.73,99.18,24.86,54.05
27,0.00,0.00,0.00,0.00,33.32,99.72,99.72,99.43,99.72,96.99,94.81,21.86,53.80
28,0.00,0.00,0.00,0.00,28.13,96.43,98.08,99.99,94.80,99.73,99.73,23.22,53.34
29,0.00,0.00,0.00,0.00,22.40,86.60,98.35,98.62,96.98,98.63,82.22,24.86,50.72
30,0.00,0.00,0.00,0.00,14.75,91.52,99.72,99.99,83.05,92.90,99.73,24.86,50.54
31,0.00,0.00,0.00,0.00,22.95,99.72,99.72,99.98,95.62,99.73,99.73,24.86,53.52
32,0.00,0.00,0.00,0.00,3.28,94.25,97.23,99.99,6.28,0.00,0.00,0.00,25.09
33,0.00,0.00,0.00,0.00,0.00,69.11,99.72,99.89,99.72,99.73,70.49,0.00,44.89
34,0.00,0.00,0.00,0.00,0.00,56.55,99.72,99.89,99.72,99.73,99.73,24.86,48.35
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.75,99.72,99.73,99.73,24.86,32.90
36,0.00,0.00,0.00,0.00,0.00,0.00,84.14,98.60,83.32,99.73,99.73,24.86,40.87
37,0.00,0.00,0.00,0.00,0.00,0.00,91.25,99.93,99.72,99.73,99.73,24.86,42.93
38,0.00,0.00,0.00,0.00,0.00,0.00,99.72,99.99,1.37,0.00,0.00,0.00,16.76
39,0.00,0.00,0.00,0.00,0.00,35.78,98.08,97.42,82.78,80.81,92.62,24.86,42.70
40,0.00,0.00,0.00,0.00,0.00,0.00,94.52,99.99,93.98,99.73,99.73,24.86,42.73
41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.26,75.68,21.04,24.86,14.32
42,0.00,0.00,0.00,0.00,0.00,0.00,62.01,99.94,99.72,99.45,99.17,24.86,40.43
43,0.00,0.00,0.00,0.00,0.00,0.00,71.29,99.89,99.72,99.73,99.73,24.86,41.27
44,0.00,0.00,0.00,0.00,0.00,0.00,71.27,99.77,99.72,99.73,99.73,24.86,41.26
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.90,99.73,64.21,24.86,19.81
46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.88,99.73,94.55,24.86,21.58
47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.23,98.50,99.73,24.86,21.53
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.59,91.67,99.73,24.86,20.07
49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.74,99.73,95.08,24.86,19.03
50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.16,96.72,99.73,24.86,22.29
51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.47,99.73,99.73,24.86,19.40
52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79,98.35,99.73,24.86,22.06
53,0.00,0.00,0.00,0.00,0.00,0.00,25.13,97.80,97.26,99.73,99.73,24.86,37.04
54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.27,99.18,24.86,14.53
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.74,25.14,24.86,4.64
56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.26,96.99,24.86,13.59
57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.95,96.99,24.86,12.07
58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.14,99.73,24.86,12.48
59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.98,24.86,9.40
60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.08,0.00,2.17
61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.27,24.86,6.26
62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.14,24.86,4.17
63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.03,1.00
64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.49,1.71
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.19,0.43
